File,Author,Creator,Producer,Subject,Title,PageCount,Comment
/Users/Tim/Code/Github/BMPStaging/W3C Link Checker_ https___tsmcgrath.github.io_BMPStaging_.pdf,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",Skia/PDF m80,,,17,
/Users/Tim/Code/Github/BMPStaging/W3C Link Checker_20200412_ https___tsmcgrath.github.io_BMPStaging_.pdf,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",Skia/PDF m80,,,22,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01689_UMassExtensionPesticides.pdf,Madelaine Smith,PScript5.dll Version 5.2.2,Acrobat Distiller 9.3.2 (Windows),,Microsoft Word - Cranberry BMPs 6 July.doc,8,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01610_to_01613_WC_Streambank_Stabilization.pdf,ploofal,PScript5.dll Version 5.2.2,Acrobat Distiller 6.0 (Windows),,Microsoft Word - WC Streambank Stabilization.doc,3,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00035_linedwaterway.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,linedwaterway,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00121_lunkerstruct.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,lunkerstruct,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00706_DOT.pdf,FHWA,PScript5.dll Version 5.2.2,Acrobat Distiller 7.0.5 (Windows),,Design for Fish Passage at Roadway-Stream Crossings: Synthesis Report,280,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00076_reversed_elev.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,reversed_elev,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00717_RiparianBuffer.PDF,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00099_migrationbarrier.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,migrationbarrier,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00125_reedbanks.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,reedbanks,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00049_drywell.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,drywell,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00039_natrevege_trees.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,natrevege_trees,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01354_PennStateBufferWildlfie.pdf,,Adobe InDesign CS5 (7.0.3),Adobe PDF Library 9.9,,,8,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00921_soilSystems.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00095_halflog.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,halflog,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00056_smallinfilbasin.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,smallinfilbasin,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01334_OhioEvergreen.pdf,NR733G3,Adobe PageMaker 6.52,Acrobat Distiller 3.0 for Power Macintosh,,stfs12,8,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00069_offlineinfilt.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,offlineinfilt,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00029_critareaplant.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,critareaplant,4,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00028_concreteblkrevet.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,concreteblkrevet,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00002_constrentrance.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,constrentrance,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00429_TCEQTMDL.pdf,TCEQ,,Acrobat Distiller 7.0.5 for Macintosh,,"GI-351, Preserving and Improving Water Quality",28,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01973_EPAhealthywatersheds.pdf,U.S. EPA,Adobe InDesign CS3 (5.0.4),Adobe PDF Library 8.0,healthy watersheds,Identifying and Protecting Healthy Watersheds,256,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00109_brushlayer.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,brushlayer,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01784_to_01834_CaliforniaConstruction.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01996_WashingtonFishway.pdf,Randy Kreuziger,Microsoft Word ,Acrobat PDFWriter 3.0 for Windows,,fishways.PDF,57,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00484_svapfnl.pdf,NPSS54(Mattinson),Adobe PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,Stream Cover,Stream Cover,42,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01738_CenterForAgroForestry.pdf,,Adobe InDesign CS (3.0),Adobe PDF Library 6.0,,TMJan3 copy.indd,20,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00013_concretegrid.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,concretegrid,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01200_to_01208_MissouriForest.pdf,,,,,,,An exception occured
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00433_to_00473_TXForestService.pdf,Chris Duncan,Acrobat PDFMaker 9.1 for Word,Adobe PDF Library 9.0,,,123,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00116_livecribwall.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,livecribwall,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01739_compostNercOrg.pdf,marias,Corel WordPerfect - [K:\Recycle\Vicky\Farmuse3col.WPD (Read-Only - unmodified)],Acrobat PDFWriter 4.0 for Windows NT,,K:\Recycle\Vicky\Farmuse3col.PDF,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00068_medianstripinfil.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,medianstripinfil,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00479_boulderclusters.pdf,u4ercvld,Microsoft Word ,Acrobat PDFWriter 4.0 for Windows,,BOULDTN1.PDF,6,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01733_AlaskaGravel.pdf,Stephanie Pingree,Acrobat PDFMaker 6.0 for Word,Acrobat Distiller 6.0.1 (Windows),,Gravel Pit BMPs,43,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01399_Soil_Stabilization_Pricing_CA.pdf,sullivanj,PScript5.dll Version 5.2,Acrobat Distiller 6.0 (Windows),,Microsoft Word - SSBMPresearchDraft_073007_vt_mh.doc,23,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00950_VirginiaLivestockExclusion.pdf,"HyperGEAR,Inc.","HyperGEAR,Inc.",HyperGEAR PDF Make Library,,,4,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01421_Streambank_armor_protection.pdf,,Adobe InDesign CS2 (4.0.2),Adobe PDF Library 7.0,,Technical Supplement 14K--Streambank Armor Protection with Stone Structures,22,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01701_SubdivisionDesignCritique.pdf,Randall Arendt,Acrobat PDFMaker 9.0 for Word,Adobe PDF Library 9.0,,,6,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01638_BoulderColoradoChemical.pdf,kjones,PScript5.dll Version 5.2.2,Acrobat Distiller 9.0.0 (Windows),,Microsoft Word - Pesticide and Fertilizer Application SOP.doc,3,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01344_OhioRipRap.pdf,NR733G3,Adobe PageMaker 6.5,Acrobat Distiller 3.02 for Power Macintosh,stfs16,stfs16,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01387_RevegdocLosLunasLab.pdf,sanka.chen,PScript5.dll Version 5.2.2,Acrobat Distiller 6.0.1 (Windows),,Microsoft Word - Seeding Xeric Riparian Sites.doc,8,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00102_treecover.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,treecover,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00092_cobbleliners.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,cobbleliners,1,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00115_jacksjack.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,jacksjack,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01754_ipm.pdf,"Rex Dufour, July 2001",Adobe PageMaker 6.52,Acrobat Distiller 4.05 for Windows,"This publication provides the rationale for biointensive Integrated Pest Management (IPM), outlines the concepts and tools of biointensive IPM, and suggests steps and provides informational resources for implementing IPM.",Biointensive Integrated Pest Management (IPM) ~ PDF,52,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/01423_streamsideexcl.pdf,ezabronsky,PScript5.dll Version 5.2,Acrobat Distiller 7.0.5 (Windows),,Stream brochure_final.qxp,20,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00112_dormantposts.pdf,aismac,PageMaker 6.5,Acrobat Distiller 3.01 for Power Macintosh,,dormantposts,2,
/Users/Tim/Code/Github/BMPStaging/BMPpdfs/00912_grazing.pdf,,Adobe InDesign CS3 (5.0),Adobe PDF Library 8.0,,,3,
